id,name,level,parent_id,type
,春节档电影,1,0
,半导体设备,1,0
,海军,1,0
,AI内容审核,1,0
,安全防护与监管,1,0
,科学仪器,1,0
,灵巧手,1,0
,ISO3级洁净室,1,0
,视涯科技IPO,1,0
,国产光刻新凯来,1,0
,华为智界,1,0
,华为机器人,1,0
,Figure机器人,1,0
,陆军,1,0
,轴承,1,0
,军工,1,0
,华为芯片链,1,0
,造纸,1,0
,HBM存储,1,0
,原子级制造,1,0
,影视,1,0
,华为九大核心股,1,0
,导弹,1,0
,空客（天津）,1,0
,英伟达MLCP,1,0
,MSCI指数新增,1,0
,春节五大消费,1,0
,蜜雪冰城鲜啤,1,0
,高通,1,0
,建筑设计,1,0
,苹果MR,1,0
,军工9大集团,1,0
,特斯拉FSD,1,0
,电机,1,0
,预制菜,1,0
,中昊芯英,1,0
,电子元器件分销,1,0
,裸眼3D,1,0
,小鹏,1,0
,导航,1,0
,半导体,1,0
,华卓精科IPO,1,0
,包装,1,0
,机器人之眼（机器视觉）,1,0
,汽车零部件DSO,1,0
,C919大飞机,1,0
,汽车检测,1,0
,两轮车,1,0
,小米汽车,1,0
,华为,1,0
,AI眼镜,1,0
,核污染防治,1,0
,麒麟9020,1,0
,旅游,1,0
,新凯来示波器,1,0
,脑机接口,1,0
,2026年2月事件前瞻,1,0
,韧性城市,1,0
,食品安全,1,0
,微软Win10停服,1,0
,阿里巴巴股权相关,1,0
,军队信息化,1,0
,智元机器人,1,0
,智能座舱,1,0
,数据要素,1,0
,哪吒汽车重组,1,0
,汽车零部件,1,0
,广州世界杯,1,0
,对日制裁,1,0
,光刻胶,1,0
,长鑫存储IPO,1,0
,芯上微装,1,0
,华为汽车,1,0
,华为AI推理,1,0
,国内机器人,1,0
,苹果手机,1,0
,特斯拉,1,0
,苹果折叠屏,1,0
,福建舰,1,0
,无人驾驶硬件,1,0
,车路云一体化,1,0
,联发科,1,0
,新剑传动IPO,1,0
,文化创意国际大奖,1,0
,芬太尼,1,0
,光刻机,1,0
,存储芯片,1,0
,华为三折叠屏手机,1,0
,乐聚IPO,1,0
,显示面板,1,0
,商汤模型,1,0
,科技类重组,1,0
,小米集团,1,0
,无人驾驶巨头,1,0
,VR,1,0
,低空经济,1,0
,海思芯片,1,0
,华为问界,1,0
,AH小市值,1,0
,小鹏汇天,1,0
,重庆,1,0
,基孔肯雅热,1,0
,超硬AR镀膜玻璃,1,0
,上海无人驾驶,1,0
,安防,1,0
,特斯拉机器人,1,0
,陕西,1,0
,种植业,1,0
,CPU七大唯一,1,0
,热管理,1,0
,华为手机,1,0
,3D打印,1,0
,mRNA技术,1,0
,养殖业,1,0
,华为液冷快充,1,0
,农业新质生产力,1,0
,电子特气,1,0
,Sora 2模型,1,0
,无人机,1,0
,2025世界VR产业大会,1,0
,人形机器人,1,0
,台积电,1,0
,机器人丝杠,1,0
,影石相机,1,0
,洪涝灾害,1,0
,机器人大脑,1,0
,海南自贸港,1,0
,消费品以旧换新,1,0
,深圳,1,0
,外骨骼机器人,1,0
,国产算力,1,0
,老龙头,1,0
,华为海思全联接大会,1,0
,阿里AI芯片,1,0
,体育,1,0
,RISC-V芯片,1,0
,磁悬浮压缩机,1,0
,强脑科技IPO,1,0
,新型城镇化,1,0
,华为鸿蒙,1,0
,电梯,1,0
,无人驾驶出行,1,0
,AI语料,1,0
,四大科技独角兽IPO,1,0
,华为八大专利,1,0
,机器人五大巨头,1,0
,DeepSeek,1,0
,首发经济大全,1,0
,维谛技术,1,0
,无人配送,1,0
,新能源车,1,0
,端侧AI,1,0
,“苏超”联赛,1,0
,算力十大第一,1,0
,冰雪经济,1,0
,CPU虚拟化,1,0
,设备更新,1,0
,磁电存储,1,0
,人民币国际化,1,0
,深海经济,1,0
,2025年10月事件前瞻,1,0
,明朝那些事儿,1,0
,中药,1,0
,比亚迪DMi,1,0
,深圳机器人,1,0
,环保,1,0
,高校系,1,0
,糖,1,0
,重组概念,1,0
,AI漫剧,1,0
,足球经济,1,0
,AMD超威半导体,1,0
,电子元器件,1,0
,国资云,1,0
,芜湖星际之门,1,0
,服务贸易八大分支,1,0
,2025华为全联接大会,1,0
,2026年1月事件前瞻,1,0
,东盟自贸区,1,0
,消费电子,1,0
,建筑全过程管理,1,0
,家用电器,1,0
,碳化硅,1,0
,人口发展与服务体系,1,0
,AI一体机,1,0
,光刻机全球三大厂商,1,0
,房地产,1,0
,麦角硫因,1,0
,辅助生殖,1,0
,安徽商业航天,1,0
,供销社,1,0
,农机,1,0
,AI手机,1,0
,宇树机器人,1,0
,医疗器械,1,0
,合成生物,1,0
,全国文旅,1,0
,机器人无线充电,1,0
,芯片大全,1,0
,6G,1,0
,教育,1,0
,信创,1,0
,外贸出口,1,0
,著名IP,1,0
,家居,1,0
,智慧家庭,1,0
,2025年11月事件前瞻,1,0
,新型工业化,1,0
,干细胞,1,0
,次新股速览,1,0
,AMC不良资产处理,1,0
,数字货币,1,0
,中欧贸易,1,0
,生猪,1,0
,机器人部队,1,0
,傅利叶机器人,1,0
,首都都市圈,1,0
,AIPC,1,0
,科技赛道十大主线,1,0
,农业,1,0
,四川国资,1,0
,中美芬太尼合作,1,0
,流感,1,0
,七腾机器人,1,0
,携程,1,0
,医疗信息化,1,0
,赛会之城·不夜杭州,1,0
,汽车芯片,1,0
,AR眼镜,1,0
,新经济,1,0
,昆仑银行,1,0
,航天国家队,1,0
,昇腾384超节点,1,0
,中国科技独角兽,1,0
,航天发射场,1,0
,中国对美出口六大板块,1,0
,淘宝,1,0
,海外收入高占比,1,0
,RWA,1,0
,国产AI芯片大全,1,0
,三胎,1,0
,SAF生物航煤,1,0
,外卖大战,1,0
,国家大基金三期,1,0
,设备数字化改造,1,0
,SHEIN/希音IPO,1,0
,商业航天8大IPO,1,0
,电科蓝天IPO,1,0
,固态电池,1,0
,民营医院,1,0
,人工智能+消费,1,0
,中概股回归,1,0
,关键软件,1,0
,ASIC芯片,1,0
,大豆,1,0
,杭州七小龙,1,0
,照明LED,1,0
,全民社保,1,0
,机器人训练场,1,0
,阿里六大核心产业,1,0
,美国科技七姐妹,1,0
,金融IT,1,0
,复合集流体,1,0
,PCB印制电路板,1,0
