event_id,assigned_theme
news_000,FAILED
news_001,FAILED
news_002,FAILED
news_003,FAILED
news_004,FAILED
news_005,FAILED
news_006,FAILED
news_007,FAILED
news_008,FAILED
news_009,FAILED
news_010,FAILED
news_011,FAILED
news_012,FAILED
news_013,FAILED
news_014,FAILED
news_015,FAILED
news_016,FAILED
news_017,FAILED
news_018,FAILED
news_019,FAILED
news_020,FAILED
news_021,FAILED
news_022,FAILED
news_023,FAILED
news_024,FAILED
news_025,FAILED
news_026,FAILED
news_027,FAILED
news_028,FAILED
news_029,FAILED
news_030,FAILED
news_031,FAILED
news_032,FAILED
news_033,FAILED
news_034,FAILED
news_035,FAILED
news_036,FAILED
news_037,FAILED
news_038,FAILED
news_039,FAILED
news_040,FAILED
news_041,FAILED
news_042,FAILED
news_043,FAILED
news_044,FAILED
news_045,FAILED
news_046,FAILED
news_047,FAILED
news_048,FAILED
news_049,FAILED
news_050,FAILED
news_051,FAILED
news_052,FAILED
news_053,FAILED
news_054,FAILED
news_055,FAILED
news_056,FAILED
news_057,FAILED
news_058,FAILED
news_059,FAILED
news_060,FAILED
news_061,FAILED
news_062,FAILED
news_063,FAILED
news_064,FAILED
news_065,FAILED
news_066,FAILED
news_067,FAILED
news_068,FAILED
news_069,FAILED
news_070,FAILED
news_071,FAILED
news_072,FAILED
news_073,FAILED
news_074,FAILED
news_075,FAILED
