event_id,assigned_theme
news_000,智能眼镜
news_001,智能眼镜
news_002,智能眼镜
news_003,智能眼镜
news_004,智能眼镜
news_005,智能眼镜
news_006,智能眼镜
news_007,智能眼镜
news_008,智能眼镜
news_009,智能眼镜
news_010,航天基地扩建
news_011,低轨预警星座
news_012,航天商业化
news_013,航天商业化
news_014,航天商业化
news_015,可控核聚变突破
news_016,可控核聚变突破
news_017,核聚变工程化
news_018,核聚变资本整合
news_019,核聚变工程化
news_020,核聚变工程化
news_021,核聚变工程化
news_022,核聚变工程化
news_023,紧凑聚变装置
news_024,核聚变工程化
news_025,两用物项出口管制
news_026,东亚地缘紧张
news_027,东亚地缘紧张
news_028,东亚地缘紧张
news_029,东亚地缘紧张
news_030,FAILED
news_031,两用物项出口管制
news_032,两用物项出口管制
news_033,稀土出口便利化
news_034,稀土基地建设
news_035,中美关税缓和
news_036,中美关税缓和
news_037,稀土价格上调
news_038,两用物项出口管制
news_039,海洋经济条例
news_040,海洋经济条例
news_041,AI海洋应用
news_042,海洋强国规划
news_043,海洋强国规划
news_044,光刻胶国产替代
news_045,光刻胶国产替代
news_046,光刻胶国产替代
news_047,光刻胶国产替代
news_048,光刻胶国产替代
news_049,光刻胶国产替代
news_050,光刻胶国产替代
news_051,光刻胶国产替代
news_052,航天商业化
news_053,航天商业化
news_054,航天商业化
news_055,航天商业化
news_056,卫星超级工厂
news_057,航天商业化
news_058,火箭海上回收
news_059,航天专职监管
news_060,太空数据中心
news_061,商业航天发射
news_062,数据中心芯片
news_063,液冷服务器
news_064,液冷服务器
news_065,液冷散热
news_066,AI液冷
news_067,液冷数据中心
news_068,微流体冷却
news_069,微通道水冷
news_070,AI智能体并购
news_071,文生视频突破
news_072,国资AI融资
news_073,AI智能体平台
news_074,AI智能体融资
news_075,AI智能体
