subject_key,subject_name,in_brief_theme,event_count,avg_confidence,has_stock_pool,stock_pool_count,A_level_count,B_level_count,C_level_count,avg_score,opportunity_generated,drop_reason
9030409,AR眼镜,True,22,0.98,True,5,0,0,5,36.8,True,all_C_level_low_quality
9043698,深海经济,True,6,0.98,True,5,0,0,5,36.8,True,all_C_level_low_quality
9017950,可控核聚变,True,6,0.9589,True,5,0,0,5,36.4,True,all_C_level_low_quality
9024880,液冷数据中心,True,5,0.9756,True,5,0,0,5,46.7,True,all_C_level_low_quality
9064166,SpaceX,True,5,0.9761,True,5,0,0,5,46.7,True,all_C_level_low_quality
9018411,光刻胶,True,4,0.959,True,5,0,0,5,46.4,True,all_C_level_low_quality
9059919,对日制裁,True,4,0.9734,True,5,0,0,5,46.7,True,all_C_level_low_quality
9043089,AI智能体Manus,True,3,0.98,True,5,0,0,5,36.8,True,all_C_level_low_quality
9062142,蓝箭航天IPO,True,3,0.92,True,5,0,0,5,45.6,True,all_C_level_low_quality
9011398,半导体设备,True,3,0.9713,True,5,1,2,2,63.6,True,ok
9010367,稀土永磁,True,3,0.98,True,5,0,0,5,46.8,True,all_C_level_low_quality
9034859,AI智能体,True,2,0.98,True,5,0,0,5,46.8,True,all_C_level_low_quality
9014001,人工智能硬件,True,2,0.9703,True,5,0,0,5,36.6,True,all_C_level_low_quality
9019807,卫星互联网,True,2,0.95,True,5,1,2,2,63.2,True,ok
9035716,出口管制,True,2,0.9578,True,5,0,0,5,36.4,True,all_C_level_low_quality
9063080,太空旅游,True,1,0.98,True,5,0,0,5,36.8,True,all_C_level_low_quality
9018144,PCB印制电路板,True,1,0.92,True,5,0,0,5,45.6,True,all_C_level_low_quality
9048607,中美芬太尼合作,True,1,0.95,True,5,0,0,5,36.2,True,all_C_level_low_quality
9036397,首发经济大全,True,1,0.86,True,5,0,0,5,34.4,True,all_C_level_low_quality
9034544,乌克兰重建,True,1,0.9519,True,5,0,0,5,36.2,True,all_C_level_low_quality
9054404,A股全球第一,True,1,0.86,True,5,0,0,5,34.4,True,all_C_level_low_quality
9030207,导弹,True,1,0.9647,True,5,0,0,5,36.5,True,all_C_level_low_quality
9022942,苹果MR,True,1,0.9495,True,5,0,0,5,36.2,True,all_C_level_low_quality
9015387,显示面板,True,1,0.86,True,5,0,0,5,34.4,True,all_C_level_low_quality
9022889,著名IP,True,1,0.9462,True,5,0,0,5,36.1,True,all_C_level_low_quality
