subject_key,subject_name,concept,semantic_type,strategy_type,quality,latest_stock_trade_date,latest_leaderboard_trade_date,leaderboard_count,recent_event_count,confusion_subject_keys,generic_anchor_ratio,anchor_count,alias_generic_count,negative_terms_count,confusion_overlap_score,stock_pool_size,recent_heat_score,false_positive_risk,priority_score,generic_terms
9035331,本源量子,本源量子,公司事件,event_driven,weak,2026-05-15,2026-04-24,13,0,"[""9026027"", ""9058922""]",0.75,1,0,0,0.2857,13,0.0122,0.6589,64.84,"[""合作"", ""参股"", ""公司""]"
9059060,乐聚IPO,乐聚IPO,公司事件,event_driven,weak,2026-05-15,2026-04-24,10,0,"[""9059201""]",0.6667,1,0,0,0.1667,10,0.0094,0.5917,60.74,"[""合作商"", ""参股""]"
9018216,石油,石油,产业链/供应链,industry_chain,weak,2026-05-15,2026-04-24,56,0,"[""9064086"", ""9063449"", ""9061453"", ""9010317""]",0.6,2,0,0,0.125,56,0.0527,0.5513,59.39,"[""上游勘探"", ""上游采油"", ""上游钻井""]"
9062904,航空发动机集团,航空发动机集团,公司事件,event_driven,weak,2026-05-15,2026-04-24,26,0,[],0.6667,1,0,0,0.0,26,0.0245,0.55,58.61,"[""供应商"", ""参股""]"
9039983,云深处机器人,云深处机器人,公司事件,event_driven,weak,2026-05-15,2026-04-24,16,0,"[""9054992"", ""9036026"", ""9043287"", ""9056580"", ""9035538"", ""9026661""]",0.6,2,0,0,0.12,16,0.015,0.55,58.38,"[""合作"", ""参股"", ""公司""]"
9064241,金刚石散热,金刚石散热,产业链/供应链,industry_chain,weak,2026-05-15,2026-04-24,6,0,[],0.6667,1,0,0,0.0,6,0.0056,0.55,58.14,"[""产品"", ""设备""]"
9062142,蓝箭航天IPO,蓝箭航天IPO,公司事件,event_driven,weak,2026-05-15,2026-04-24,21,1,"[""9044048"", ""9036191"", ""9056783""]",0.5,2,0,0,0.0714,21,0.0431,0.4929,55.65,"[""参股"", ""公司""]"
9014764,军工9大集团,军工9大集团,国防工业组织结构,industry_chain,strong,2026-05-15,2026-04-24,91,0,[],0.8571,1,0,0,0.0,91,0.0856,0.6357,55.28,"[""中国核工业集团有限公司"", ""中国航天科技集团有限公司"", ""中国航天科工集团有限公司"", ""中国航空工业集团有限公司"", ""中国航空发动机集团有限公司"", ""中国船舶集团有限公司""]"
9063773,字节Seedance,字节Seedance,技术合作与接入事件,event_driven,weak,2026-05-15,2026-04-24,19,0,"[""9039194""]",0.5,1,0,0,0.05,19,0.0179,0.4875,54.7,"[""AIDC广告代理合作接入""]"
9047021,保税仓,保税仓,产业链/供应链,industry_chain,weak,2026-05-15,2026-04-24,13,0,"[""9046844""]",0.5,1,0,0,0.0556,13,0.0122,0.4889,54.64,"[""跨境电商物流仓储""]"
9011558,医疗信息化,医疗信息化,医疗供应链管理,industry_chain,weak,2026-05-15,2026-04-24,30,0,[],0.5,1,0,0,0.0,30,0.0282,0.475,54.21,"[""SPD医疗供应链""]"
9034539,特斯拉,特斯拉,供应链关系,industry_chain,weak,2026-05-15,2026-04-24,55,0,"[""9039054"", ""9023131"", ""9064078"", ""9021988"", ""9021735"", ""9062206"", ""9020715"", ""9014701""]",0.6667,1,0,2,0.0526,55,0.0517,0.4632,54.09,"[""皮卡供应商"", ""一级供应商""]"
9058703,Remy APP,Remy APP,公司事件,event_driven,weak,2026-05-15,2026-04-24,9,0,[],0.5,1,0,0,0.0,9,0.0085,0.475,53.71,"[""技术参股""]"
9026444,染料,染料,产业链/供应链,industry_chain,weak,2026-05-15,2026-04-24,27,0,"[""9049096"", ""9048752"", ""9010317""]",0.3333,2,0,0,0.25,27,0.0254,0.4625,53.38,"[""产品""]"
9057205,哪吒汽车重组,哪吒汽车重组,公司事件,event_driven,weak,2026-05-15,2026-04-24,19,0,"[""9062416"", ""9036888""]",0.3333,2,0,0,0.25,19,0.0179,0.4625,53.2,"[""合作""]"
9058137,培育钻石,培育钻石,产业链/供应链,industry_chain,weak,2026-05-15,2026-04-24,13,0,[],0.6667,1,0,3,0.0,13,0.0122,0.45,52.31,"[""设备"", ""产品""]"
9058918,稻米造血,稻米造血,公司事件,event_driven,weak,2026-05-15,2026-04-24,12,0,"[""9055255""]",0.3333,2,0,0,0.0625,12,0.0113,0.4156,50.22,"[""合作""]"
9058261,新凯来示波器,新凯来示波器,产业链/供应链,industry_chain,weak,2026-05-15,2026-04-24,10,0,"[""9043683"", ""9019349"", ""9022763""]",0.3333,2,0,0,0.0625,10,0.0094,0.4156,50.17,"[""产品""]"
9044453,蚂蚁阿福,蚂蚁阿福,公司事件,event_driven,weak,2026-05-15,2026-04-24,10,0,[],0.3333,2,0,0,0.0,10,0.0094,0.4,49.24,"[""阿里参股""]"
9010818,国企改革,国企改革,政策主体,policy_driven,weak,2026-05-15,2026-04-24,154,0,"[""9022312"", ""9036888"", ""9020774"", ""9033890"", ""9055826"", ""9015002"", ""9014701""]",0.3333,4,1,0,0.1,154,0.1448,0.315,47.52,"[""国企改革"", ""国资国企改革""]"
9049096,重组胶原蛋白,重组胶原蛋白,产业链/供应链,industry_chain,weak,2026-05-15,2026-04-24,11,0,"[""9026444"", ""9048752""]",0.3333,2,0,6,0.25,11,0.0103,0.3625,47.01,"[""产品""]"
9061242,太空光伏,太空光伏,产业链/供应链,industry_chain,weak,2026-05-15,2026-04-24,50,0,"[""9064166"", ""9062206"", ""9014072""]",0.5,3,0,0,0.0476,50,0.047,0.3369,46.39,"[""SpaceX供应链"", ""设备"", ""产品""]"
9050919,钇90,钇90,技术突破,industry_chain,weak,2026-05-15,2026-04-24,23,0,"[""9059118"", ""9017093""]",0.5,3,0,0,0.0357,23,0.0216,0.3339,45.57,"[""生产技术路径"", ""商用堆生产"", ""辐照生产""]"
9053522,西藏,西藏,基础设施建设,policy_driven,weak,2026-05-15,2026-04-24,18,0,"[""9060492"", ""9035600"", ""9027624"", ""9027140"", ""9011782"", ""9056167"", ""9054061"", ""9058519""]",0.0,2,0,0,0.3333,18,0.0169,0.3333,45.42,[]
9060492,陕西,陕西,供需变化,industry_chain,weak,2026-05-15,2026-04-24,14,0,"[""9053522"", ""9035600"", ""9027624"", ""9027140"", ""9011782"", ""9013718"", ""9054061"", ""9058519""]",0.0,2,0,0,0.3333,14,0.0132,0.3333,45.33,[]
9038372,黄金,黄金,产业链/供应链,industry_chain,strong,2026-05-15,2026-04-24,35,0,"[""9064086"", ""9010270"", ""9052240""]",0.5,2,0,0,0.0625,35,0.0329,0.4906,45.26,"[""上游资源勘探与开采"", ""下游珠宝首饰制造与投资消费""]"
9021093,外贸出口,外贸出口,产业链/供应链,industry_chain,weak,2026-05-15,2026-04-24,149,0,"[""9034920"", ""9059201"", ""9058519"", ""9065105"", ""9062497"", ""9065632"", ""9047066"", ""9018638""]",0.0,2,0,0,0.0714,149,0.1401,0.2679,44.58,[]
9055515,麒麟9020,麒麟9020,技术突破与产业链,industry_chain,weak,2026-05-15,2026-04-24,64,0,[],0.3333,2,0,2,0.0,64,0.0602,0.3,44.5,"[""麒麟芯片制造""]"
9048311,磁悬浮压缩机,磁悬浮压缩机,产业链/供应链,industry_chain,weak,2026-05-15,2026-04-24,17,0,"[""9011526"", ""9058626"", ""9044802"", ""9016274"", ""9037499"", ""9013314"", ""9059566"", ""9049688""]",0.3333,2,0,1,0.0625,17,0.016,0.3156,44.34,"[""产品""]"
9036191,宇树机器人,宇树机器人,产业链/供应链,industry_chain,weak,2026-05-15,2026-04-24,40,0,"[""9034824"", ""9044048"", ""9040224"", ""9062142"", ""9014193"", ""9062497"", ""9063449"", ""9012538""]",0.4,3,0,0,0.0741,40,0.0376,0.2985,43.85,"[""参股"", ""应用""]"
9061633,人民币升值,人民币升值,交通运输产业,industry_chain,weak,2026-05-15,2026-04-24,88,0,"[""9027342"", ""9063449"", ""9014383"", ""129"", ""9042073"", ""9064639"", ""9010074"", ""9010317""]",0.0,2,0,0,0.0625,88,0.0828,0.2656,43.0,[]
9062416,中石化重组,中石化重组,公司事件,event_driven,medium,2026-05-15,2026-04-24,10,0,"[""9057205"", ""9036888""]",0.3333,2,0,0,0.25,10,0.0094,0.4625,42.99,"[""中国石油化工集团有限公司""]"
9035600,琴澳一体化,琴澳一体化,政策驱动类基建题材,policy_driven,weak,2026-05-15,2026-04-24,17,0,"[""9060492"", ""9053522"", ""9012396"", ""9034544"", ""9033292"", ""9011768"", ""9022363"", ""9027624""]",0.0,2,0,0,0.1667,17,0.016,0.2917,42.9,[]
9041212,腾讯元宝,腾讯元宝,公司事件,event_driven,weak,2026-05-15,2026-04-24,38,0,"[""9063716"", ""9063449"", ""9062682""]",0.0,2,0,0,0.125,38,0.0357,0.2812,42.77,[]
140,风电,风电,产业链/供应链,industry_chain,weak,2026-05-15,2026-04-24,65,0,"[""9017846"", ""9065824"", ""9064956"", ""9060591"", ""9012624"", ""9013416"", ""9044138""]",0.3333,4,0,0,0.0588,65,0.0611,0.2647,42.41,"[""上游"", ""下游""]"
9055879,国产AI芯片大全,国产AI芯片大全,企业群体分类,industry_chain,weak,2026-05-15,2026-04-24,62,0,"[""9017774""]",0.0,2,0,0,0.0556,62,0.0583,0.2639,42.29,[]
9027861,房地产服务,房地产服务,产业链/供应链,industry_chain,weak,2026-05-15,2026-04-24,15,0,"[""9013718"", ""9063449""]",0.0,2,0,0,0.1176,15,0.0141,0.2794,42.12,[]
9013989,教育,教育,政策驱动型教育服务,policy_driven,weak,2026-05-15,2026-04-24,44,0,"[""9023826"", ""9054096"", ""9030019"", ""9024980"", ""9056088"", ""9050942""]",0.0,2,0,0,0.0714,44,0.0414,0.2679,42.11,[]
9046378,东盟自贸区,东盟自贸区,节庆消费事件,event_driven,weak,2026-05-15,2026-04-24,18,0,"[""9035559"", ""9034544"", ""9027342"", ""9011768"", ""9054349"", ""9022363"", ""9012747"", ""9011446""]",0.0,2,0,0,0.1111,18,0.0169,0.2778,42.09,[]
9033525,统一大市场,统一大市场,政策驱动型组织变革,policy_driven,weak,2026-05-15,2026-04-24,57,0,"[""9023196"", ""9029292"", ""9013021"", ""9014573""]",0.0,2,0,0,0.0455,57,0.0536,0.2614,42.02,[]
9011526,工业母机,工业母机,产业链/供应链,industry_chain,weak,2026-05-15,2026-04-24,32,0,"[""9058626"", ""9048311"", ""9024589"", ""9016274"", ""9019060"", ""9037499"", ""9013314""]",0.0,2,0,0,0.0714,31,0.0292,0.2679,41.8,[]
9058064,微软Win10停服,微软Win10停服,技术产品与安全,industry_chain,weak,2026-05-15,2026-04-24,33,0,"[""9058017"", ""9058770"", ""9047427"", ""9025613"", ""9014648""]",0.0,2,0,0,0.0476,33,0.031,0.2619,41.49,[]
9062454,AI产业链五大核心,AI产业链五大核心,技术突破与产业链,industry_chain,weak,2026-05-15,2026-04-24,32,0,"[""9041842"", ""9022152"", ""9064386"", ""9059230"", ""9065423"", ""9058119"", ""9034544"", ""9023579""]",0.2,4,1,0,0.125,32,0.0301,0.2612,41.42,"[""AI产业链五大核心""]"
