trade_date,stock_id,stock_name,subject_key,subject_name,limitup_gene_pass,theme_synergy_pass,volume_price_health_pass,structure_health_pass,pass_count_4of3,reject_no_limitup_gene,reject_isolated_theme,reject_break_support_with_heavy_drop,reject_junk_follower,hard_reject_any,watch_status,watch_score,strong_grade,promoted_to_formal,support_type,support_score,gap_hit,gap_hit_mode,prior7_limitup_days,prior7_strong_days
2026-04-07,000919,金陵药业,1,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,600664,哈药股份,1,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,688046,药康生物,1,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,1
2026-04-07,603222,济民健康,1,,True,False,True,False,2,False,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,1,2
2026-04-07,301235,华康洁净,1,,False,False,True,False,1,True,True,False,True,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,300109,新开源,1,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,000153,丰原药业,1,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,600351,亚宝药业,1,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,002817,黄山胶囊,1,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,688426,康为世纪,1,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,002107,沃华医药,1,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,300485,赛升药业,1,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,300562,乐心医疗,1,,False,False,True,False,1,True,True,False,True,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,002900,哈三联,1,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,000597,东北制药,1,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,688670,金迪克,1,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,002622,皓宸医疗,1,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,300122,智飞生物,1,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,1
2026-04-07,301367,瑞迈特,1,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,688351,微电生理,1,,False,False,True,False,1,True,True,False,True,True,seed_selected,0.0,,False,,0.0,False,,0,1
2026-04-07,688189,南新制药,1,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,300434,金石亚药,1,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,002412,汉森制药,1,,False,False,True,False,1,True,True,False,True,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,300142,沃森生物,1,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,688265,南模生物,1,,False,False,True,False,1,True,True,False,True,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,300158,振东制药,1,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,688520,神州细胞,1,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,300285,国瓷材料,1,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,002019,亿帆医药,1,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,688276,百克生物,1,,False,False,False,False,0,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,601866,中远海发,129,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,1
2026-04-07,600026,中远海能,129,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,1
2026-04-07,600179,安通控股,129,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,000039,中集集团,129,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,600798,宁波海运,129,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,0
2026-04-07,605298,必得科技,129,,False,False,True,False,1,True,True,False,False,True,seed_selected,0.0,,False,,0.0,False,,0,0
