trade_date,stock_id,subject_key,subject_name,final_cycle_state,final_mainline_alive,state_transition_type,cycle_score_mainline_strength,cycle_score_repair,cycle_score_divergence,cycle_score_fade_watch,cycle_score_fade_confirmed,cycle_alive_pass
2026-04-07,000919,1,,divergence,False,,51.76,54.81,83.325,16.255,9.94,False
2026-04-07,600664,1,,divergence,False,,51.76,54.81,83.325,16.255,9.94,False
2026-04-07,688046,1,,divergence,False,,51.76,54.81,83.325,16.255,9.94,False
2026-04-07,603222,1,,divergence,False,,51.76,54.81,83.325,16.255,9.94,False
2026-04-07,301235,1,,divergence,False,,51.76,54.81,83.325,16.255,9.94,False
2026-04-07,300109,1,,divergence,False,,51.76,54.81,83.325,16.255,9.94,False
2026-04-07,000153,1,,divergence,False,,51.76,54.81,83.325,16.255,9.94,False
2026-04-07,600351,1,,divergence,False,,51.76,54.81,83.325,16.255,9.94,False
2026-04-07,002817,1,,divergence,False,,51.76,54.81,83.325,16.255,9.94,False
2026-04-07,688426,1,,divergence,False,,51.76,54.81,83.325,16.255,9.94,False
2026-04-07,002107,1,,divergence,False,,51.76,54.81,83.325,16.255,9.94,False
2026-04-07,300485,1,,divergence,False,,51.76,54.81,83.325,16.255,9.94,False
2026-04-07,300562,1,,divergence,False,,51.76,54.81,83.325,16.255,9.94,False
2026-04-07,002900,1,,divergence,False,,51.76,54.81,83.325,16.255,9.94,False
2026-04-07,000597,1,,divergence,False,,51.76,54.81,83.325,16.255,9.94,False
2026-04-07,688670,1,,divergence,False,,51.76,54.81,83.325,16.255,9.94,False
2026-04-07,002622,1,,divergence,False,,51.76,54.81,83.325,16.255,9.94,False
2026-04-07,300122,1,,divergence,False,,51.76,54.81,83.325,16.255,9.94,False
2026-04-07,301367,1,,divergence,False,,51.76,54.81,83.325,16.255,9.94,False
2026-04-07,688351,1,,divergence,False,,51.76,54.81,83.325,16.255,9.94,False
2026-04-07,688189,1,,divergence,False,,51.76,54.81,83.325,16.255,9.94,False
2026-04-07,300434,1,,divergence,False,,51.76,54.81,83.325,16.255,9.94,False
2026-04-07,002412,1,,divergence,False,,51.76,54.81,83.325,16.255,9.94,False
2026-04-07,300142,1,,divergence,False,,51.76,54.81,83.325,16.255,9.94,False
2026-04-07,688265,1,,divergence,False,,51.76,54.81,83.325,16.255,9.94,False
2026-04-07,300158,1,,divergence,False,,51.76,54.81,83.325,16.255,9.94,False
2026-04-07,688520,1,,divergence,False,,51.76,54.81,83.325,16.255,9.94,False
